name,children,size
CAPZA1,"S100B	1",0.1
CASK,"SDC3	1",0.1
CASP1,"TFAP2A	1",0.1
CASP3,"LYN	1",0.1
CASP3,"DSG3	1",0.1
CASP3,"TFAP2A	1",0.1
CASP3,"EIF2AK2	1",0.1
CASP3,"PRKCZ	1",0.1
CASP3,"RAD51	1",0.1
CASP3,"RB1	1",0.1
CASP3,"PTMA	1",0.1
CASP3,"SP1	1",0.1
CASP6,"TFAP2A	1",0.1
CASP7,"EIF2AK2	1",0.1
CASP8,"EIF2AK2	1",0.1
CASP8,"GMEB1	1",0.1
CASP9,"MAP2K1	1",0.1
CASP9,"MAPK1	1",0.1
CASP9,"GMEB1	1",0.1
CASQ2,"ANKRD1	1",0.1
CASR,"PRKCA	1",0.1
CASR,"PRKCB	1",0.1
CASR,"PRKCG	1",0.1
CAV1,"PDGFRA	1",0.1
CAV1,"PRNP	1",0.1
CAV1,"PTPN11	1",0.1
CAV1,"PTPN6	1",0.1
CAV1,"PTPN1	1",0.1
CAV1,"PTPRF	1",0.1
CAV1,"RCVRN	1",0.1
CAV1,"GRK1	1",0.1
CAV1,"SCP2	1",0.1
CAV1,"HRAS	1",0.1
CAV1,"SRC	1",0.1
CAV2,"SRC	1",0.1
CAV3,"SLC8A1	1",0.1
CBFA2T3,"PRKAR2A	1",0.1
CBL,"VAV1	1",0.1
CBL,"FGR	1",0.1
CBL,"LYN	1",0.1
CBL,"PLCG1	1",0.1
CBL,"PTPN6	1",0.1
CBL,"TYK2	1",0.1
CBL,"ZAP70	1",0.1
CBL,"ITK	1",0.1
CBL,"SRC	1",0.1
CBL,"NOTCH1	1",0.1
CBL,"SH3KBP1	1",0.1
CBL,"SYK	1",0.1
CBL,"SCN5A	1",0.1
CBL,"VAV2	1",0.1
CBL,"NCK1	1",0.1
CBL,"SHC1	1",0.1
CBL,"INPPL1	1",0.1
CBL,"SLA	1",0.1
CBL,"PTK2B	1",0.1
CBL,"UBE2G1	1",0.1
CBL,"LCP2	1",0.1
CBL,"CRKL	1",0.1
CBL,"SPRY2	1",0.1
CBL,"KHDRBS1	1",0.1
CBL,"EPHB6	1",0.1
CBL,"UBE2D2	1",0.1
CBL,"UBE2G2	1",0.1
CBL,"PIK3R2	1",0.1
CBL,"UBE2L3	1",0.1
CBL,"CD2AP	1",0.1
CBL,"SORBS1	1",0.1
CBL,"SLA2	1",0.1
CBL,"PTPN22	1",0.1
CBL,"FRS2	1",0.1
CBL,"EIF5B	1",0.1
CBL,"CDKL2	1",0.1
CBL,"UBASH3B	1",0.1
CBLB,"VAV1	1",0.1
CBLB,"ZAP70	1",0.1
CCBP2,"CCL3	1",0.1
CCBP2,"CCL4	1",0.1
CCBP2,"CCL5	1",0.1
CCL3,"CCL4	1",0.1
CCL3,"TGFB1	1",0.1
CCL5,"SDC1	1",0.1
CCL5,"CCRL1	1",0.1
CCL5,"SDC4	1",0.1
CCND1,"PCNA	1",0.1
CCND1,"RB1	1",0.1
CCND1,"SP1	1",0.1
CCND1,"TAF1	1",0.1
CCND1,"IFI27	1",0.1
CCND1,"CDKN1B	1",0.1
CCND1,"MYBL2	1",0.1
CCND1,"PRKACA	1",0.1
CCND1,"NCOA3	1",0.1
CCND1,"NCOA1	1",0.1
CCND1,"EP300	1",0.1
CCND1,"CDK6	1",0.1
CCND1,"AKAP8	1",0.1
CCND1,"GSK3B	1",0.1
CCND1,"CCNDBP1	1",0.1
CCND1,"KAT2B	1",0.1
CCND1,"RBX1	1",0.1
CCND1,"THRA	1",0.1
CCND1,"THRB	1",0.1
CCND1,"HDAC3	1",0.1
CCND1,"ORC4	1",0.1
CCND1,"CUL3	1",0.1
CCND1,"DMTF1	1",0.1
CCND1,"HERC5	1",0.1
CCND1,"MCM10	1",0.1
CCND1,"NPDC1	1",0.1
CCNH,"GTF2E2	1",0.1
CCNH,"GTF2H1	1",0.1
CCNT1,"MYC	1",0.1
CCNT2,"RB1	1",0.1
CCR1,"CCL3	1",0.1
CCR1,"CCL4	1",0.1
CCR1,"CCL5	1",0.1
CCR3,"FGR	1",0.1
CCR3,"CCL3	1",0.1
CCR3,"CCL5	1",0.1
CCR4,"CCL3	1",0.1
CCR4,"CCL5	1",0.1
CCR5,"CCL3	1",0.1
CCR5,"CCL4	1",0.1
CCR5,"CCL5	1",0.1
CCR8,"CCL1	1",0.1
CCR8,"CCL4	1",0.1
CD151,"ITGA3	1",0.1
CD151,"ITGB1	1",0.1
CD1D,"TRB@	1",0.1
CD1D,"P4HB	1",0.1
CD2,"CD59	1",0.1
CD2,"CD247	1",0.1
CD2,"CD4	1",0.1
CD2,"SP1	1",0.1
CD2,"SH3KBP1	1",0.1
CD2,"MXD1	1",0.1
CD2,"CD2AP	1",0.1
CD2,"CD2BP2	1",0.1
CD2,"PSTPIP1	1",0.1
CD247,"ZAP70	1",0.1
CD247,"CD28	1",0.1
CD247,"TRA@	1",0.1
CD247,"TRB@	1",0.1
CD247,"TFRC	1",0.1
CD247,"JAK3	1",0.1
CD247,"SHC1	1",0.1
CD247,"SLA	1",0.1
CD247,"LY6E	1",0.1
CD247,"STAT5A	1",0.1
CD247,"UNC119	1",0.1
CD247,"STAT5B	1",0.1
CD247,"NCR1	1",0.1
CD247,"TRAT1	1",0.1
CD247,"SH2B3	1",0.1
CD247,"GAB2	1",0.1
CD247,"TIRAP	1",0.1
CD247,"SLA2	1",0.1
CD247,"DOCK2	1",0.1
CD247,"NCR3	1",0.1
CD27,"TRAF2	1",0.1
CD27,"TRAF3	1",0.1
CD27,"TRAF5	1",0.1
CD27,"SIVA1	1",0.1
CD27,"CD70	1",0.1
CD28,"PIK3R1	1",0.1
CD28,"PLCG1	1",0.1
CD28,"ITK	1",0.1
CD28,"CD86	1",0.1
CD28,"GRAP2	1",0.1
CD28,"DUSP14	1",0.1
CD28,"LRRC23	1",0.1
CD28,"GRB2	1",0.1
CD36,"YES1	1",0.1
CD36,"LYN	1",0.1
CD36,"ITGB3	1",0.1
CD36,"THBS1	1",0.1
CD36,"SRC	1",0.1
CD36,"MATK	1",0.1
CD36,"ITGA2B	1",0.1
CD38,"FCGR3A	1",0.1
CD38,"LCK	1",0.1
CD38,"PECAM1	1",0.1
CD3D,"CD8B	1",0.1
CD3D,"CD247	1",0.1
CD3D,"TRA@	1",0.1
CD3D,"CD8A	1",0.1
CD3D,"TRB@	1",0.1
CD3D,"CD3G	1",0.1
CD3D,"CD3E	1",0.1
CD3E,"CD3EAP	1",0.1
CD3E,"PIK3R1	1",0.1
CD3E,"ZAP70	1",0.1
CD3E,"TRB@	1",0.1
CD3EAP,"POLR1E	1",0.1
CD3G,"TRD@	1",0.1
CD3G,"TRA@	1",0.1
CD3G,"TRB@	1",0.1
CD4,"CD44	1",0.1
CD4,"CD38	1",0.1
CD4,"PIK3R1	1",0.1
CD4,"CD28	1",0.1
CD4,"DPP4	1",0.1
CD4,"CXCL12	1",0.1
CD4,"CCR5	1",0.1
CD4,"LAT	1",0.1
CD4,"IL16	1",0.1
CD4,"UNC119	1",0.1
CD4,"SELL	1",0.1
CD4,"PIP	1",0.1
CD4,"PI4KA	1",0.1
CD4,"CD82	1",0.1
CD4,"HLA-DQA2	1",0.1
CD4,"SPG21	1",0.1
CD4,"MARCH4	1",0.1
CD44,SRGN,0.1
CD44,"MMP7	1",0.1
CD44,"TGFBR1	1",0.1
CD44,"TGFBR2	1",0.1
CD44,"VAV2	1",0.1
CD44,"ERBB4	1",0.1
CD44,"TIAM1	1",0.1
CD44,"DMP1	1",0.1
CD44,"ARHGEF1	1",0.1
CD44,"NF2	1",0.1
CD47,"EPB42	1",0.1
CD47,"RHAG	1",0.1
CD47,"THBS1	1",0.1
CD5,"CD72	1",0.1
CD59,"GNAI3	1",0.1
CD59,"SRC	1",0.1
CD59,"SLC6A8	1",0.1
CD59,"NCR1	1",0.1
CD59,"NCR3	1",0.1
CD59,"SMAD4	1",0.1
CD7,"PIK3R1	1",0.1
CD7,"SECTM1	1",0.1
CD7,"PI4KA	1",0.1
CD7,"SNAP29	1",0.1
CD72,"GRB2	1",0.1
CD72,"PTPN6	1",0.1
CD72,"SEMA4D	1",0.1
CD72,"BLNK	1",0.1
CD81,"KIT	1",0.1
CD81,"SHC1	1",0.1
CD82,"LRP1	1",0.1
CD8A,"CD8B	1",0.1
CD8A,"SRSF1	1",0.1
CD8A,"LAT	1",0.1
CD8A,"SREK1	1",0.1
CD9,"CD59	1",0.1
CDC20,"TCP1	1",0.1
CDC34,"CUL1	1",0.1
CDC34,"ROCK1	1",0.1
CDC34,"UBB	1",0.1
CDC5L,"MELK	1",0.1
CDC6,"PCNA	1",0.1
CDC6,"PSKH1	1",0.1
CDC6,"MYC	1",0.1
CDH1,"JUP	1",0.1
CDH1,"PTPRM	1",0.1
CDH1,"PTPRF	1",0.1
CDH1,"RRM2	1",0.1
CDH5,"JUP	1",0.1
CDH5,"PTPN11	1",0.1
CDH5,"PTPRB	1",0.1
CDK1,"CEP55	1",0.1
CDK1,"MYC	1",0.1
CDK2,"POLL	1",0.1
CDK6,"PCNA	1",0.1
CDK7,"E2F1	1",0.1
CDK7,"GTF2H1	1",0.1
CDKN1B,"GRB2	1",0.1
CDKN1C,"PCNA	1",0.1
CDKN2A,"NCL	1",0.1
CDKN2A,"RPS7	1",0.1
CDKN2A,"HSP90AB1	1",0.1
CDKN2A,"TBRG1	1",0.1
CDKN2A,"GSPT1	1",0.1
CDKN2A,"KIAA1984	1",0.1
CDKN2A,"ANKRD12	1",0.1
CDKN2A,"ZNF227	1",0.1
CDKN2A,"PEX19	1",0.1
CDKN2A,"ZFP91	1",0.1
CDKN2A,"TPI1	1",0.1
CDKN2A,"AHNAK	1",0.1
CDX2,"UBB	1",0.1
CEBPB,"SPI1	1",0.1
CEBPB,"MAPK1	1",0.1
CEBPB,"RB1	1",0.1
CEBPB,"CCL3	1",0.1
CEBPB,"SP1	1",0.1
CEBPB,"MYB	1",0.1
CEBPB,"MYC	1",0.1
CEBPB,"ELK1	1",0.1
CEBPB,"SRF	1",0.1
CEBPB,"HMGA1	1",0.1
CEBPB,"HNRNPK	1",0.1
CEBPB,"SMAD4	1",0.1
CEBPB,"STAT5A	1",0.1
CEBPB,"STAT6	1",0.1
CEBPB,"SMARCB1	1",0.1
CEBPB,"RPS6KA1	1",0.1
CEBPB,"SMARCC1	1",0.1
CEBPB,"TRIM28	1",0.1
CEBPB,"NOLC1	1",0.1
CEBPB,"EP300	1",0.1
CEBPB,"SMAD3	1",0.1
CEBPB,"SMARCA4	1",0.1
CEBPB,"MED23	1",0.1
CEBPB,"SPIB	1",0.1
CEBPB,"TAF9	1",0.1
CEBPE,"MYB	1",0.1
CFL1,"SLC2A4	1",0.1
CFTR,"PRKCA	1",0.1
CFTR,"PRKCE	1",0.1
CFTR,"STX1A	1",0.1
CHAT,"PRKCA	1",0.1
CHD3,"TAL1	1",0.1
CHEK1,"UBB	1",0.1
CHEK1,"CUL1	1",0.1
CHEK1,"CUL4A	1",0.1
CHGA,"PLG	1",0.1
CHM,"RAB3A	1",0.1
CHM,"RAB6A	1",0.1
CHRNA1,ITGA7,0.1
CHRND,"GRB2	1",0.1
CIITA,"NFYB	1",0.1
CISH,"PRLR	1",0.1
CISH,"PRKCA	1",0.1
CISH,"PRKCB	1",0.1
CLIP1,"IQGAP1	1",0.1
CLIP1,"CLASP2	1",0.1
CLK1,"PTPN1	1",0.1
CLK2,"PTPN1	1",0.1
CLNS1A,"SNRPB	1",0.1
CLNS1A,"EPB41L3	1",0.1
CLU,"PON1	1",0.1
CLU,"PRNP	1",0.1
CLU,"TGFBR1	1",0.1
CLU,"TGFBR2	1",0.1
CLU,"VLDLR	1",0.1
CLU,"LRP2	1",0.1
CLU,"LRP8	1",0.1
CLU,"MMP25	1",0.1
CNGB1,"PRPH2	1",0.1
CNN1,"PRKCE	1",0.1
CNTN1,"PRNP	1",0.1
CNTN1,"PTPRB	1",0.1
CNTN1,"TNC	1",0.1
COL4A2,"ATF7IP	1",0.1
COL4A5,"OSM	1",0.1
COL4A5,"SERPINE2	1",0.1
COL4A6,"OSM	1",0.1
COL4A6,"SERPINE2	1",0.1
COL6A2,"ABCD3	1",0.1
COPA,"PDGFRB	1",0.1
COPB1,"PDGFRB	1",0.1
COPB1,"PRKCE	1",0.1
CORT,"SSTR1	1",0.1
CORT,"SSTR2	1",0.1
CORT,"SSTR3	1",0.1
CORT,"SSTR4	1",0.1
CORT,"SSTR5	1",0.1
CPB2,"PLG	1",0.1
CPB2,"F2	1",0.1
CREBBP,"JUN	1",0.1
CREBBP,"MECOM	1",0.1
CREBBP,"GLI3	1",0.1
CREBBP,"PRKCD	1",0.1
CREBBP,"MAF	1",0.1
CREBBP,"RXRG	1",0.1
CREBBP,"DDX5	1",0.1
CREBBP,"PTMA	1",0.1
CREBBP,"MYB	1",0.1
CRK,"GRB2	1",0.1
CRKL,"KIT	1",0.1
CRKL,"PIK3R1	1",0.1
CRKL,"IFNAR1	1",0.1
CRKL,"PDGFRA	1",0.1
CRKL,"PTPN11	1",0.1
CRKL,"TYK2	1",0.1
