source,target
DVL2,RBFOX1
DYNC1LI1,NUP85
E2F1,PHB
E2F1,TFDP1
E2F1,SP1
E2F1,GTF2H1
E2F1,TP53
E2F1,PURA
E2F1,SP4
E2F1,SKP2
E2F1,BRD2
E2F1,SP2
E2F1,SP3
E2F1,NDN
E2F1,TFDP2
E2F1,MNAT1
E2F1,MDM4
E2F1,E2F6
E2F1,TRRAP
E2F1,CUL1
E2F1,CHEK2
E2F1,CTDP1
E2F1,TP53BP1
E2F1,TOPBP1
E2F1,NPDC1
E2F1,SERTAD2
E2F2,RB1
E2F2,TFDP1
E2F2,SP1
E2F3,RB1
E2F3,TFDP1
E2F3,SP1
E2F4,RB1
E2F4,RBL2
E2F4,TFDP1
E2F5,RBL2
E2F5,TFDP1
E2F6,TFDP1
E4F1,SMAD9
E4F1,RB1
EDN1,UBQLN4
EEF1A1,SMAD4
EFNA1,EPHA2
EFNA1,EPHA1
EFNA2,EPHA2
EFNA2,EPHA3
EFNA3,EPHA2
EFNA4,EPHA8
EFNA4,EPHA2
EFNA5,EPHA8
EFNA5,EPHA2
EFNA5,EPHA3
EFNB1,SRC
EFNB2,EPHA3
EGF,GRB2
EGFR,GRB2
EHHADH,SCP2
EIF2AK2,TP53
EIF2AK2,STAT1
EIF2AK2,DNAJC3
EIF2AK2,METAP2
EIF2AK2,RAC1
EIF2AK2,TARBP2
EIF2AK2,TIRAP
EIF2AK2,PTGES3
EIF2AK2,PRKRIR
EIF2AK2,STRBP
EIF2AK2,PRKRIP1
EIF2S1,PRKCD
EIF2S1,MELK
EIF3C,SNIP1
EIF3E,SMAD9
EIF4EBP1,MAPK1
EIF4EBP1,PPP2CA
EIF4G1,ZFYVE9
EIF6,PRKCB
EIF6,GNB2L1
ELANE,SLPI
ELAVL4,NFX1
ELF1,REL
ELF1,RB1
ELF1,NFYB
ELF1,SP1
ELF1,HMGA1
ELF2,LMO2
ELK1,MAPK1
ELK1,GRB2
EN1,JUN
ENO1,PLG
EP300,JUN
EP300,PPARA
EP300,TFAP2A
EP300,PCNA
EP300,PRKCD
EP300,MAF
EP300,TAL1
EP300,PTMA
EP300,MYB
EPB41,MACROD1
EPB41,YWHAB
EPB41,YWHAQ
EPB41,SEC14L1
EPB41,GDI1
EPB41,C2CD2L
EPB41,FKBP2
EPB41L1,YWHAQ
EPB41L1,YWHAZ
EPB41L1,YWHAB
EPB41L2,SPTAN1
EPB41L2,FKBP2
EPB42,SPTAN1
EPB42,KRAS
EPB42,SLC4A2
EPB42,STX12
EPB42,CNO
EPB42,SPINK7
EPHA2,PTPN11
EPHA2,TNFAIP1
EPHA2,SHC1
EPHA2,TIAM1
EPHA2,PTK2
EPHA2,SLA
EPHA2,GRB2
EPHA3,RUFY2
EPHA3,RUFY1
EPHA8,PIK3CG
EPHB1,GRB2
EPHB2,RRAS
EPHB2,SRC
EPHB4,SDC3
EPOR,GRB2
EPRS,RARS
EPS15,LAPTM5
EPS8,ITGB3
EPS8,SRC
ERAS,PIK3R1
ERBB2,GRB7
ERBB2,PAK1
ERBB2,PIK3R2
ERBB2,PTPN18
ERBB2,ERBB2IP
ERBB2,NF2
ERBB2,CD82
ERBB2,ERRFI1
ERBB2,TOB1
ERBB2,MUC4
ERBB2,PICK1
ERBB2,GRB2
ERBB3,PIK3R1
ERBB3,SOS1
ERBB3,GRB2
ERF,MAPK1
ERG,SPI1
ERG,FLI1
ERG,ETV1
ERG,SETDB1
ETS2,ZFYVE9
ETV1,KCNA2
ETV3,DDX20
EVI5,FBXO5
EVPL,SPRR2A
EVPL,SPRR3
EWSR1,SMAD1
EXOSC10,RPE
EZH2,VAV1
F10,SERPINB6
F10,PLG
F10,PLAT
F10,PROS1
F2,SERPINB6
F2,SERPINE1
F2,PROC
F2,PROS1
F2,SERPINE2
F2,F2R
F2,THBD
F2,THBS1
F2,KNG1
F2,GP1BA
F2,F9
F2,SERPINB8
F2,SERPINA5
F2,F2RL2
F2,F2RL3
F2,AKR7A2
F2,HGFAC
F2,ITGA2B
F2,F11
F2,ST13
F2,SPP1
F2,PROZ
F2,PLAU
F2R,ITGAV
F2R,SNX1
F2R,GNA12
F2R,GNA13
F2RL1,PLG
F2RL1,PRTN3
F5,PROC
F5,PROS1
F8,PROC
F8,PROS1
F8,LRP1
F9,LRP1
FAF1,SNIP1
FAM175B,SMURF2
FANCA,SPTAN1
FANCC,SPTAN1
FANCC,SPTA1
FANCD2,RAD51
FAP,PLAUR
FASLG,GRB2
FCGR2B,LYN
FCGR2B,PTPN6
FEN1,PCNA
FER,TMF1
FER,YWHAB
FES,PIK3R1
FES,BCAR1
FES,RASA3
FES,DPYSL5
FES,PLXNA1
FES,HSH2D
FEZ1,BRD1
FGF10,FGFR2
FGF3,EBNA1BP2
FGF5,FGFR2
FGF9,FGFR2
FGFR1,GRB2
FGFR2,PLCG1
FGFR3,GRB2
FGR,SRC
FGR,WAS
FGR,SYK
FGR,PTK2
FGR,HCLS1
FGR,SLAMF1
FGR,INPP5D
FHL2,ZFYVE9
FHL2,TTN
FHL3,MAPK1
FKBP1A,RYR1
FKBP1A,RYR3
FKBP1A,TGFBR1
FKBP1A,YY1
FKBP1A,GLMN
FKBP1A,TGFB1I1
FKBP1A,FKBP4
FKBP1A,TRPC3
FKBP1B,RYR2
FKBP2,ARFGEF1
FKBP3,YY1
FKBP3,HDAC1
FKBP3,HDAC2
FLG,PCSK6
FLNA,RALA
FLNC,FURIN
FLNC,INPPL1
FLNC,MAP2K4
FLNC,SGCD
FLNC,MYOT
FLNC,MYOZ1
FLNC,PHLDB2
FLNC,SGCG
FLNC,KCND2
FLNC,NPHP1
FLNC,MYOZ3
FLT1,KDR
FLT1,VEGFA
FLT1,PLCG2
FLT1,SHC1
FLT1,PGF
FLT1,VEGFB
FLT3,GRB2
FLT3LG,KITLG
FLT4,GRB2
FMNL1,PFN1
FN1,SPARC
FOS,SUMO1
FOS,SUMO2
FOS,SUMO3
FOSL2,JUN
FOSL2,JUNB
FOSL2,JUND
FOXG1,TLE1
FOXG1,TLE3
FOXG1,HDAC1
FOXG1,SMAD1
FOXG1,KDM5B
FOXO4,YWHAZ
FRK,RB1
FTL,SMAD9
FYB,SRC
FYB,BCAR1
GAB1,PIK3R1
GAB1,PLCG1
GAB1,PTPN11
GABPA,SP1
GABRA4,PRKCG
GABRB1,PIK3CA
GABRB2,PRKCB
GABRG2,PRKCB
GABRR1,MAPK1
GABRR1,PRKCA
GABRR2,PRKCA
GAD1,PPP2CB
GAD1,PRKCE
GAD2,PRKCE
GADD45B,PPARA
GADD45B,PCNA
GAPDH,SLC2A4
GATA1,SPI1
GATA1,LMO2
GBA,PSAP
GCNT1,PRKCB
GDI1,RAB6A
GDI2,RAB8A
GDI2,RAB2A
GDI2,RAB4A
GDI2,RAB5A
GHR,PIK3R1
GHR,PTPN11
GHR,PTPN6
GHR,TYK2
GJB1,PRKCA
GLI1,ZIC1
GLI1,ZIC2
GLI1,SUFU
GLI1,STK36
GLI2,ZIC1
GLI2,ZIC2
GLI2,SUFU
GLI2,STK36
GLI3,ZIC3
GLI3,ZIC1
GLI3,SMAD4
GLI3,SMAD2
GLI3,SMAD1
GLI3,TWIST1
GLI3,ZIC2
GLI3,SMAD3
GLI3,SUFU
GLI3,STK36
GLRX,PTPN1
GMFB,MAPK1
GMFB,PRKCA
GNA12,PRKCA
GNA12,TBXA2R
GNAQ,PIK3CA
GNAQ,HTR2A
GNAQ,TBXA2R
GNB2L1,TUBB
GNB2L1,PABPC1
GNB2L1,RASA3
GNB2L1,HABP4
GNB2L1,AGTRAP
GNB2L1,LRP12
GNB2L1,SREK1
GNGT1,RHO
GNGT1,GNB5
GNGT1,PLEKHB1
GOLGA1,RAB6A
GOLGA4,RAB6A
GP1BA,GP5
GP1BA,GP9
GP1BA,SELP
GP5,YWHAZ
GPM6A,PRKCA
GRAP2,GNB2L1
GRB10,KIT
GRB10,PDGFRB
GRB10,MAP2K1
GRB10,SRC
GRB14,PDGFRB
GRB14,PDGFRA
GRB14,PRKCZ
GRB2,RASA1
GRB2,PRRC2A
GRB2,HTT
GRB2,IL2RB
GRB2,IRS1
GRB2,ITGA6
GRB2,ITGB4
GRB2,JAK1
GRB2,JAK2
GRB2,PTPRC
GRB2,MAP2
GRB2,MUC1
GRB2,NGFR
GRB2,HNRNPC
GRB2,RET
GRB2,MET
GRB2,KIT
GRB2,PIK3R1
GRB2,PLCG1
GRB2,PDGFRB
GRB2,PRNP
GRB2,PTPN11
GRB2,PTPN6
GRB2,PTPRA
GRB2,PTPN1
GRB2,MAPK1
GRB2,SOS1
GRB2,ITK
GRB2,CCL5
GRB2,PRKAR1A
GRB2,HRAS
GRB2,SRC
GRB2,TNFRSF1A
GRB2,KDR
GRB2,NTRK1
GRB2,REPS2
GRB2,WAS
GRB2,SH2D1A
GRB2,OCRL
GRB2,SYN1
GRB2,PTPN12
GRB2,SYK
GRB2,MST1R
GRB2,TEK
GRB2,RAPGEF1
GRB2,SHB
GRB2,VAV2
GRB2,SHC1
