source,target
STX4,STXBP5
STX4,TXLNA
STX4,STXBP3
STX4,TXLNB
STX4,SYT7
STX4,STXBP4
STXBP2,VAMP2
SUMO2,SAE1
SUMO2,UBA2
SUMO2,CUL3
SUMO2,CCNE2
SUMO2,TP53BP2
SUMO2,KALRN
SUMO3,TDG
SUMO3,CUL3
SUMO3,CCNE2
SUMO3,TP53BP2
SUMO3,KALRN
SYK,VAV1
SYT1,GNB2L1
SYT1,SYT4
SYT1,SYNCRIP
SYT1,ZDHHC17
SYT1,STON2
SYT1,SV2B
SYT1,NRXN1
SYT1,TFAP2A
TAF1A,CD3EAP
TAL1,KAT2B
TAL1,SIN3A
TAL1,ZHX1
TAL1,NCAPG2
TAL1,ELSPBP1
TAP1,TAP2
TAP1,TAPBP
TAP2,TAPBP
TBCB,USP7
TBXA2R,GNA13
TCL1A,AKT3
TCP1,TUBA4A
TCP1,TUBA8
TCP1,CCT5
TCP1,CCT7
TCP10,PARD6A
TCP10,PARD6B
TDG,SNIP1
TDGF1,ACVR1C
TEAD1,VGLL1
TEAD1,YAP1
TEAD1,VGLL4
TEAD1,VGLL2
TEC,VAV1
TEP1,TERT
TERT,XPO1
TERT,PINX1
TERT,PTGES3
TERT,SMG6
TERT,XRCC5
TERT,MCRS1
TERT,SMG5
TF,TFRC
TF,TFR2
TFAP2A,DEK
TFAP2A,TP53
TFAP2A,WWP1
TFAP2A,WWP2
TFAP2A,MAGI1
TFAP2A,CITED2
TFAP2A,LDLRAP1
TFAP2A,CITED4
TFAP2A,EPN2
TFDP1,TP53
TFDP1,NPDC1
TFDP1,SERTAD2
TFRC,RANBP9
TFRC,GABARAP
TG,HSP90B1
TGFB1,THBS1
THBS1,CORO1A
THBS2,THBS3
TMPO,BANF1
TMPO,AKAP8L
TMPO,GMCL1
TMPO,SGTB
TMPRSS15,SPINK1
TNC,PTPRB
TNFAIP3,LAPTM5
TNFRSF17,TRAF1
TNFRSF17,TRAF2
TNFRSF17,TRAF3
TNFRSF17,TNFSF13B
TNFRSF17,TNFSF13
TNPO1,SRP19
TOPORS,SNIP1
TP53BP2,YES1
TP73,GNB2L1
TRA@,TRD@
TRA@,TRB@
TRA@,TRAT1
TRB@,TRD@
TRB@,TRAT1
TRD@,TRG@
TRIM23,CYTH1
TSC22D3,JUN
TTN,MYOM1
TTN,MYOM2
TTN,TCAP
TTN,TRIM63
TTN,OBSCN
TTN,ANKRD1
TTN,ANKRD2
TTN,ANKRD23
TUBA1A,SDC3
TUBA4A,ZAP70
TXN,TXNIP
TXNIP,SMURF2
TYK2,VAV1
TYK2,GNB2L1
TYK2,IRS2
TYK2,PRMT5
TYK2,STAM2
TYK2,XRCC5
TYRO3,YES1
TYROBP,ZAP70
UBA52,LAPTM5
UBE2B,RAD18
UBE2B,UBR2
UBE2I,SNIP1
UBTF,CD3EAP
VAMP1,BCAP31
VAMP1,SNAP23
VAMP1,VAPA
VAMP1,VAPB
VAMP2,SYP
VAMP2,SNAP23
VAMP2,VAMP8
VAMP2,RABAC1
VAMP2,STX11
VAMP2,CPLX1
VAMP2,VAPA
VAMP2,VAPB
VAMP2,SYPL1
VAMP2,TRPC3
VAV1,ZYX
VAV1,LAT
VAV1,SOCS1
VAV1,AOC3
VAV1,BLNK
VAV1,RACGAP1
VAV1,PAG1
VIM,NUP85
WEE1,BRD8
WNT5A,FZD5
WNT5A,FZD1
WRNIP1,POLD4
YBX1,TFAP2A
YES1,ADAM12
YES1,CD2AP
YES1,TRPV4
YES1,GP6
YWHAQ,EPB41L3
ZAP70,LAT
ZAP70,SIT1
ZAP70,SH2B3
ZAP70,PAG1
ZAP70,GAB2
ZAP70,SLAMF6
ZAP70,SLA2
ZAP70,DBNL
ZAP70,FCRL3
ZAP70,NFAM1
ZEB1,DRAP1
ZFYVE9,NUP155
ZFYVE9,SUMF2
ZFYVE9,UBXN11
ZFYVE9,ZMYND8
ZFYVE9,CHD6
ZFYVE9,RHOT2
ZFYVE9,SPG20
ZFYVE9,SCYL2
ZMYM5,SNIP1
ZP2,ZPBP
ZP3,ENGASE
