source,target
PCSK5,SH3GLB1
PDE2A,FAM168A
PDE2A,RPS3
PDE2A,ANAPC15
PDE2A,SPAG7
PDE2A,FCHSD2
PDE2A,HSD17B6
PDE2A,RPS6KA4
PDE2A,GLS2
PDE4A,SMARCA4
PDPK1,PKD1
PEX10,SNX17
PIP4K2A,ARMC4
PKD1,SOX17
PKD1,DDX58
PKD1,RPL3L
PKD1,PPL
PKD1,NADSYN1
PLAGL1,ZBTB14
PPP3CB,PRICKLE1
PRKCSH,SMARCA4
KLK7,FUZ
PSKH1,ST3GAL2
PSKH1,PSMB10
PTPN2,ZBTB14
RAD23A,SMARCA4
RALB,CXCR4
SLC25A33,C1orf127
SMPD4,CFC1
ROBO1,MYCBP
RPS28,SMARCA4
CCL25,SMARCA4
SLC4A1,ZBTB14
SMARCA4,VAV1
SMARCA4,ICAM5
SMARCA4,ZNF69
SPTAN1,CNTRL
TRAF1,CNTRL
TSN,CFC1
TYR,PRICKLE1
YWHAE,CXCL16
ZBTB14,COLEC12
ZBTB14,KCNAB3
ZBTB14,ASXL3
ZBTB14,B4GALT6
ZBTB14,TM9SF1
ZBTB14,AP4B1
ZIC3,DNAI1
POGZ,KIF15
HIATL2,ANKS6
CXCR4,DHX57
CXCR4,AGO3
CXCR4,SCAMP2
CXCR4,C2orf27B
CXCR4,FTO
DNAH11,CPVL
DNAH11,GGCT
H1FX,PLXND1
HIP1R,PRICKLE1
DNAJA3,IFT140
UNC119,SEMA6A
IL32,IFT140
SLC9A3R2,IFT140
RAB28,CC2D2A
RAB11FIP3,IFT140
IFT140,TRAP1
IFT140,TELO2
IFT140,ZNF263
SNX17,KCNG3
HMGXB4,TAB1
TOM1,TAB1
TAB1,KDELR3
TAB1,IFT27
TAB1,CXCL16
PFDN6,CFC1
PRICKLE1,ARID2
PRICKLE1,ANO6
CENPO,DRC1
FREM2,SERTM1
FREM2,NHLRC3
DYNC2H1,ANGPTL5
FDX1L,CCDC151
ZNF606,DNAAF3
BICC1,FAM13C
GCOM1,DYX1C1
C2orf44,DRC1
BRSK1,DNAAF3
C1orf127,TMEM201
C1orf127,NPHP4
EVI5L,CCDC151
CCDC151,OR7G1
CCDC151,OR7D4
CCDC151,RLN3
CCDC151,RAVER1
CCDC151,ZNF653
GEMIN4,CXCL16
PRR16,SEMA6A
CDC40,HACE1
COMMD10,SEMA6A
IP6K2,KIF15
C2orf16,DRC1
SUFU,EDA2R
CFC1,MZT2B
CFC1,CCDC74B
DNAAF3,LILRA5
DNAAF3,SIGLEC14
TTC14,CCDC39
MMP21,NPS
MMP21,CLRN3
MMP21,FOXI2
P4HTM,KIF15
ELP6,KIF15
PLEKHB2,CFC1
WDR70,C5orf42
ARMC4,ARHGAP21
ARMC4,OTUD1
BRIX1,C5orf42
LAPTM4B,TMEM67
LRRK2,PRICKLE1
CISD1,BICC1
PLXND1,PODXL2
PLXND1,ISY1
PLXND1,SEC61A1
PSME4,RPL23AP32
PSME4,C2orf73
SCFD1,HECTD1
KHNYN,HECTD1
KIF15,KIAA1143
KIF15,CDCP1
KIF15,KIF9
SIGLEC12,DNAAF3
RAB25,DAW1
ANKRD50,SPATA5
HACE1,POPDC3
HACE1,BEND3
HACE1,RPF2
HACE1,MICAL1
CC2D2A,CPEB2
CC2D2A,NCAPG
SEMA6A,AQPEP
SEMA6A,FAM170A
CECR2,PRICKLE1
CXCL16,NEURL4
TMEM67,FAM92A1
TMEM67,NDUFAF6
TNFAIP8,SEMA6A
METTL21B,DNAI1
CARD18,DYNC2H1
DNAI1,ATG10
DRC1,TCF23
ZNF561,CCDC151
OLFM2,CCDC151
BEND3,MICAL1
ACPT,DNAAF3
MUC16,CCDC151
LENG9,DNAAF3
RANGRF,CXCL16
DYX1C1,PRTG
DYX1C1,WDR72
MICAL1,RPF2
MICAL1,TRIM5
MICAL1,GTF3C6
C5orf42,CAPSL
C5orf42,SPEF2
C5orf42,NADK2
