source,interactions,pathways,diseases
ACTB,SMARCA4,[6],[6]
CENPO,DRC1,[2],[0]
PTPRC,CXCR4,[2],[2]
HPR,PSKH1,[1],[0]
CYP4F3,SMARCA4,[1],[0]
EVI5L,CCDC151,[0],[0]
BMPR1B,SMAD6,[2],[2]
LIPC,LRP1,[0],[0]
IGFBP3,LTBP1,[1],[0]
CRK,MICAL1,[3],[0]
BMPR1A,TAB1,[2],[2]
CSN2,NEK8,[1],[0]
MUC16,CCDC151,[1],[0]
SPTAN1,CNTRL,[3],[3]
